Select your 3 favorite characters!
"Eridan Ampora, Aradia Megido, Sollux Captor"
"WV (sigh... ""The Mayor""), Calliope, Davepeta"
"Equius Zahhak, Die, Davepeta"
"Dave Strider, Roxy Lalonde, Terezi Pyrope"
"Dave Strider, Equius Zahhak, Dad Egbert"
"Jade Harley, Roxy Lalonde, SS"
"Jade Harley, Nepeta Leijon, Aradia Megido"
"Vriska Serket, John Egbert, Rose Lalonde"
"Dave Strider, Karkat Vantas, Kurloz Makara"
"Dave Strider, Terezi Pyrope, Vriska Serket"
"WV (sigh... ""The Mayor""), John Egbert, Davesprite"
"HB, DD, CD"
"Terezi Pyrope, Gamzee Makara, Dad Egbert"
"Kanaya Maryam, Rose Lalonde, SS"
"Roxy Lalonde, Nepeta Leijon, John Egbert"
"SS, WV (sigh... ""The Mayor""), John Egbert"
"John Egbert, Jade Harley, Terezi Pyrope"
"Rose Lalonde, Gamzee Makara, Terezi Pyrope"
"Terezi Pyrope, Davepeta, Jade Harley"
"Vriska Serket, Aradia Megido, Roxy Lalonde"
"Equius Zahhak, Karkat Vantas, SS"
"Aradia Megido, Jade Harley, Terezi Pyrope"
"Dave Strider, AR, WV (sigh... ""The Mayor"")"
"Vriska Serket, Lord English, SS"
"Rose Lalonde, Jade Harley, Kanaya Maryam"
"Dave Strider, Davesprite, Dirk Strider"
"Dirk Strider, Vriska Serket, John Egbert"
